Title,Location,Country,Date,JobID,Description,Requisition Type,Requisition Id,Job Schedule,Degree Level,Contract Type,Location Name,Apply Link
Executive - Implant,"Chennai, Tamil Nadu, India",IN,2022-05-31,237,,Temp,300000294346935,Full time,Bachelor's Degree,Temporary,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/237/apply/email
Executive - Recruiter,"Vadodara, Gujarat, India",IN,2022-05-31,243,,Permanent,300000303632609,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/243/apply/email
Senior - Process Executive,"Mumbai, Maharashtra, India",IN,2022-05-31,251,,Permanent,300000310880992,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/251/apply/email
Associate - HR,"Bangalore, Karnataka, India",IN,2022-05-31,252,,Permanent,300000310905502,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/252/apply/email
Senior Executive - Sales,"Telangana, India",IN,2022-05-31,255,,Permanent,300000311293293,Full time,High School Graduate,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/255/apply/email
Asst. Manager - Compliance,"Telangana, India",IN,2022-05-31,258,Solving Compliance Issues  ,Permanent,300000311561016,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/258/apply/email
Vice President,India,IN,2022-05-31,263,,Permanent,300000311868363,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/263/apply/email
Key Account Manager,India,IN,2022-05-31,264,,Permanent,300000312031265,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/264/apply/email
DGM - Offshore Services,India,IN,2022-05-31,265,,Permanent,300000312089395,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/265/apply/email
Senior Sales Manager,India,IN,2022-05-31,266,,Permanent,300000312122832,Full time,,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/266/apply/email
Senior Sales Manager,"New Delhi, Delhi, India",IN,2022-05-31,267,,Permanent,300000312198065,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/267/apply/email
Senior Account Manager,"Mumbai, Maharashtra, India",IN,2022-05-31,269,,Permanent,300000313553448,Full time,Master's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/269/apply/email
Deputy General Manager,"Delhi, India",IN,2022-05-31,272,,Permanent,300000316111195,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/272/apply/email
Key Account Manager,"Hyderabad, Telangana, India",IN,2022-05-31,274,,Permanent,300000316381332,Full time,Post Bachelor's,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/274/apply/email
Assistant Manager - Client Engagement,India,IN,2022-05-31,275,,Permanent,300000316543860,,,,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/275/apply/email
Execuitve - MIS,"Pune, Maharashtra, India",IN,2022-05-31,277,,Permanent,300000316587496,Full time,High School Graduate,Regular,Null,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/277/apply/email
Manager - Sourcing,"Pune, Maharashtra, India",IN,2022-05-31,278,,Permanent,300000316606164,Full time,Bachelor's Degree,Regular,,https://fa-eumz-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/278/apply/email
